mc_name,col_id,syn_name,rank,name_status,genus,subgenus,species,infraspecies_marker,infraspecies,author,record_scrutiny_date,online_resource,is_extinct,name_html,url
Peronospora effusa,692a91843fb9c49729e2caafc2504710,Peronospora monolepidis,species,synonym,Peronospora,,monolepidis,,,"Gäum., 1923",,,0,"<i>Peronospora monolepidis</i> Gäum., 1923",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/692a91843fb9c49729e2caafc2504710
Peronospora effusa,40b5f0a62cdecf0b7caa45ad36e3e4f6,Peronospora muralis,species,synonym,Peronospora,,muralis,,,"Gäum., 1920",,,0,"<i>Peronospora muralis</i> Gäum., 1920",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/40b5f0a62cdecf0b7caa45ad36e3e4f6
Peronospora effusa,856ef61cc1d21c6bcf7178d58f2d25b4,Peronospora nitens,species,synonym,Peronospora,,nitens,,,"Oescu & Rădul., 1933",,,0,"<i>Peronospora nitens</i> Oescu & Rădul., 1933",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/856ef61cc1d21c6bcf7178d58f2d25b4
Peronospora effusa,81d4b23a2e1da04a3190b34be0fe8249,Peronospora obionis-verruciferae,species,synonym,Peronospora,,obionis-verruciferae,,,"Săvul. & Rayss, 1935",,,0,"<i>Peronospora obionis-verruciferae</i> Săvul. & Rayss, 1935",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/81d4b23a2e1da04a3190b34be0fe8249
Peronospora effusa,59e217df5012957b010f7adf0d3adc3b,Peronospora schachtii,species,synonym,Peronospora,,schachtii,,,"Fuckel, 1870",,,0,"<i>Peronospora schachtii</i> Fuckel, 1870",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/59e217df5012957b010f7adf0d3adc3b
Peronospora effusa,e8fb1a0cc743d43d990e8d3e46d9c163,Peronospora spinaciae,species,synonym,Peronospora,,spinaciae,,,"Laubert, 1906",,,0,"<i>Peronospora spinaciae</i> Laubert, 1906",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/e8fb1a0cc743d43d990e8d3e46d9c163
Peronospora effusa,af64e7a901bd6af3c9c75fbe745ab736,Peronospora tatarica,species,synonym,Peronospora,,tatarica,,,"Săvul. & Rayss, 1932",,,0,"<i>Peronospora tatarica</i> Săvul. & Rayss, 1932",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/af64e7a901bd6af3c9c75fbe745ab736
Peronospora effusa,724c467227d7cdecb5a9eb0794be215b,Peronospora uralensis,species,synonym,Peronospora,,uralensis,,,"Jacz., 1931",,,0,"<i>Peronospora uralensis</i> Jacz., 1931",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/724c467227d7cdecb5a9eb0794be215b
Peronospora effusa,f2a764c934c72bb89d581e2b48b3f0da,Peronospora variabilis,species,synonym,Peronospora,,variabilis,,,"Gäum., 1919",,,0,"<i>Peronospora variabilis</i> Gäum., 1919",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/f2a764c934c72bb89d581e2b48b3f0da
Peronospora effusa,2040c5e9440fca4f23a926b69d49acdd,Peronospora vistulensis,species,synonym,Peronospora,,vistulensis,,,"Wróbl., 1916",,,0,"<i>Peronospora vistulensis</i> Wróbl., 1916",http://www.catalogueoflife.org/col/details/species/id/b983298b0dc22fb02acd113ef3161ba6/synonym/2040c5e9440fca4f23a926b69d49acdd
